ETC_20150317_000001	Kepa
ETC_20200320_045375	A Meteor will be created.	메테오가 생성됩니다.				
ETC_20200320_045376	Accuracy Speciality	명중 특화				
ETC_20200320_045377	The boss monster of this season will have high Accuracy. 	이번 시즌 보스 몬스터의 명중이 증가합니다.				
ETC_20200320_045378	Ignore Magic Debuff	마법 디버프 무시				
ETC_20200320_045379	Bubble Pattern	버블 패턴				
ETC_20200320_045380	Create Magic Sphere	마력 구체 생성				
ETC_20200320_045381	Create Meteor	메테오 생성				
ETC_20200320_045382	You receive flame damage while the talisman is stuck to you.	부적이 붙어있는 동안 화염 대미지를 입습니다.	ETC_20161005_024857	You receive flame damage while the talisman is stuck to you.	부적이 붙어있는 동안 화염 데미지를 입습니다.	
ETC_20200320_045383	You receive frost damage while the talisman is stuck to you.	부적이 붙어있는 동안 냉기 대미지를 입습니다.	ETC_20161005_024859	You receive frost damage while the talisman is stuck to you.	부적이 붙어있는 동안 냉기 데미지를 입습니다.	
ETC_20200320_045384	You receive electric damage while the talisman is stuck to you.	부적이 붙어있는 동안 전기 대미지를 입습니다.	ETC_20161005_024861	You receive electric damage while the talisman is stuck to you.	부적이 붙어있는 동안 전기 데미지를 입습니다.	
ETC_20200320_045385	electric shock damage has been sustained. The electric shock has defeated the monsters.	감전으로 인해 대미지를 받습니다. 몬스터는 감전으로 치명적인 상처를 입고 죽게 됩니다.	ETC_20171128_029880	electric shock damage has been sustained. The electric shock has defeated the monsters.	감전으로 인해 데미지를 받습니다. 몬스터는 감전으로 치명적인 상처를 입고 죽게 됩니다.	
ETC_20200320_045386	Provides 90% reduction against damage received from Lapezard's shield and immunity to some status ailments.	라페자드가 부여한 방어막에 의해 입혀지는 대미지가 90% 경감되며 일부 상태 이상으로부터 면역됩니다.	ETC_20190802_042213	Provides 90% reduction against damage received from Lapezard's shield and immunity to some status ailments.	라페자드가 부여한 방어막에 의해 입혀지는 데미지가 90% 경감되며 일부 상태 이상으로부터 면역됩니다.	
ETC_20200320_045387	You are under [Freeze] effect by Ice property attack. You cannot take any action. 	얼음 속성의 공격으로 인해 [결빙] 상태가 됨. 행동 불가. 	ETC_20150317_005742	You have been frozen and receive continuous cold damage. Cannot move.	얼음 속성의 공격으로 인해 [결빙] 상태가 됨. 지속적인 피해를 입고, 행동 불가. 	
ETC_20200320_045388	Weekly Boss Raid in Progress	주간 보스 레이드 진행 중				
ETC_20200320_045389	The Weekly Boss Raid is currently underway. 	주간 보스 레이드 진행 중입니다.				
ETC_20200320_045390	The broken shield hinders the defense. 	방패가 손상되어 방어가 힘들어집니다.	ETC_20170726_028253	Damages the shield to hinder defense mechanisms.	방패가 손상되어 방어기 힘들어집니다.	
ETC_20200320_045391	Damage Reflecting	대미지 반사	ETC_20171128_029898	Damage Reflecting	데미지 반사	
ETC_20200320_045392	The drug caused some harm in your body, but you feel momentarily stronger.{nl}You take damage, but your attack is increased.	약물을 잘못 복용하여 괴로웠으나, 잠시 동안 강해진 느낌이 듭니다.{nl}대미지를 입으나 공격력이 증가합니다.	ETC_20180827_035326	The drug caused some harm in your body, but you feel momentarily stronger.{nl}You take damage, but your attack is increased.	약물을 잘못 복용하여 괴로웠으나, 잠시 동안 강해진 느낌이 듭니다.{nl}데미지를 입으나 공격력이 증가합니다.	
ETC_20200320_045393	Using the drug while under its influence is causing more harm to your body.{nl}You receive temporary damage.	후유증이 있는 상태에서 약물을 남용하여 몸이 괴롭습니다.{nl}일시적으로 계속해서 대미지를 입습니다.	ETC_20180827_035330	Using the drug while under its influence is causing more harm to your body.{nl}You receive temporary damage.	후유증이 있는 상태에서 약물을 남용하여 몸이 괴롭습니다.{nl}일시적으로 계속해서 데미지를 입습니다.	
ETC_20200320_045394	Cursed by Vhaldobas. The longer the curse accumulates, the more damage it deals.{nl}Can be treated using the ampules generated nearby.	발도바스가 건 저주에 걸렸습니다. 저주가 계속 누적되면 큰 대미지를 입습니다.{nl}주변에 생성되는 앰플로 치료할 수 있습니다.	ETC_20180827_035332	Cursed by Vhaldobas. The longer the curse accumulates, the more damage it deals.{nl}Can be treated using the ampules generated nearby.	발도바스가 건 저주에 걸렸습니다. 저주가 계속 누적되면 큰 데미지를 입습니다.{nl}주변에 생성되는 앰플로 치료할 수 있습니다.	
ETC_20200320_045395	The target receives continuous damage and each stack will decrease movement speed by 3. 	지속 대미지를 입으며, 중첩당 이동속도 3이 감소됩니다.				
ETC_20200320_045396	SP decreases continuously. 	지속적으로 SP가 감소합니다.				
ETC_20200320_045397	Becomes Immobile. 	이동 불가 상태가 됩니다.				
ETC_20200320_045398	Each stack decreases Skill Cooldown Time by 10%. 	스킬 재사용 대기시간이 중첩당 10%씩 감소합니다.				
ETC_20200320_045399	Buff will be removed and deals damage to the target in the front. 	버프가 제거되면 전방 대상에게 피해를 줍니다.				
ETC_20200320_045400	Void Explosion - Darkness	공허 폭발 - 암흑				
ETC_20200320_045401	Deals 80% less damage. 	주는 대미지 80%감소 상태입니다.				
ETC_20200320_045402	Increases Critical Resistance by large amount. 	치명타 저항이 대폭 상승합니다.				
ETC_20200320_045403	Increases Evasion by large amount. 	회피가 대폭 상승합니다.				
ETC_20200320_045404	Increases Critical Rate and Critical Damage by large amount. 	치명타 발생과 치명타 대미지가 대폭 상승합니다.				
ETC_20200320_045405	Target's healing amount is reduced when hit. 	타격 시 대상의 치유량이 감소합니다.				
ETC_20200320_045406	All skills will ignore the invulnerability. 	모든 스킬이 무적 효과를 무시하여 공격합니다.				
ETC_20200320_045407	Magic Absorption(Physical)	마력흡수(물리)				
ETC_20200320_045408	Each stack decreases Physical Damage by 4%. 	물리 피해가 중첩당 4% 감소합니다.				
ETC_20200320_045409	Magic Absorption(Magic)	마력흡수(마법)				
ETC_20200320_045410	Each Stack decreases Magical Damage by 4%. 	마법 피해가 중첩당 4% 감소합니다.				
ETC_20200320_045411	Magic Absorption(Damage)	마력흡수(대미지)				
ETC_20200320_045412	Each stack increases the damage dealt by 3%. 	모든 주는 대미지가 중첩당 3% 증가합니다.				
ETC_20200320_045413	Each stack increases the damage dealt by 10%. 	주는 피해가 중첩당 10% 증가합다.				
ETC_20200320_045414	Each stack decreases the healing amount by 1%. 	중첩당 치유량이 1% 감소합니다.				
ETC_20200320_045415	Decreases the damage received by 30%. 	받는 피해가 30%감소합니다.				
ETC_20200320_045416	Decreases the Block.	블록이 감소합니다.				
ETC_20200320_045417	Receives continuous damage and decreases SP. 	지속적으로 피해를 입으며 SP가 감소합니다.				
ETC_20200320_045418	Each stack decreases Magic Defense and Physical Defense by 1%. 	마법 방어력과 물리 방어력이 중첩당 1%씩 감소합니다.				
ETC_20200320_045419	Decreases Movement Speed	이속 저하				
ETC_20200320_045420	Decreases the movement speed. 	이동 속도가 감소 합니다.				
ETC_20200320_045421	Basic Attack skills are enhanced. 	일반 공격 스킬이 강화됩니다.				
ETC_20200320_045422	Each stack increases the Damage by 10%. 	중첩당 대미지가 10% 증가합니다.				
ETC_20200320_045423	Decreases Accuracy but increases Critical Rate and Critical Damage. 	명중이 감소하며, 치명타 발생과 치명타 대미지가 증가합니다.				
ETC_20200320_045424	Unable to heal. 	회복불가상태				
ETC_20200320_045425	Each stack decreases Accuracy by 20%. 	중첩당 명중이 20% 감소합니다.				
ETC_20200320_045426	Increases the movement speed of Blut. 	블룻 이속 증가.				
ETC_20200320_045427	Increases the movement speed temporarily. 	잠시동안 이동 속도가 증가합니다.				
ETC_20200320_045428	Each stack decreases the damage by 1%. 	중첩당 대미지가 1% 감소합니다.				
ETC_20200320_045429	Emit Energy	에너지 방출				
ETC_20200320_045430	Deals damage to the enemy nearby. 	주변 적대 대상에게 대미지를 줍니다.				
ETC_20200320_045431	Overload: Heal Reduction	과충전: 치유량 감소				
ETC_20200320_045432	Each stack decreases the HP healing amount by 1%. 	중첩당 HP 치유량이 1% 감소합니다.				
ETC_20200320_045433	Receive less damage from tile attacks.	장판 공격에 대미지를 적게 받습니다.				
ETC_20200320_045434	Restores 10% of total HP when receiving magic damage.	마법대미지를 받으면 전체 체력의 10% 회복	ETC_20170510_027879	Restores 10% of total HP when receiving magic damage.	마법데미지를 받으면 전체 체력의 10% 회복	
ETC_20200320_045435	Restores 10% of total HP when receiving physical or missile damage.	물리 또는 미사일 대미지를 받으면 전체 체력의 10% 회복	ETC_20170510_027881	Restores 10% of total HP when receiving physical or missile damage.	물리 또는 미사일 데미지를 받으면 전체 체력의 10% 회복	
ETC_20200320_045436	Weekly Boss Passive	주간 보스 패시브				
ETC_20200320_045437	Accumulates incoming damage.	피격 받은 대미지를 축적시킵니다.	ETC_20191024_042788	Accumulates incoming damage.	피격 받은 데미지를 축적시킵니다.	
ETC_20200320_045438	Tini Badge Speech Bubble	티니 뱃지 말풍선				
ETC_20200320_045439	Popolion Badge Speech Bubble	포포리온 뱃지 말풍선				
ETC_20200320_045440	Kepa Badge Speech Bubble	케파 뱃지 말풍선				
ETC_20200320_045441	Marnoxi_Choco	녹순이초코				
ETC_20200320_045442	Marnox_tangerine	마르녹스귤				
ETC_20200320_045443	Kupole_Cheeky_Motion	큐폴데헷모션				
ETC_20200320_045444	Kupole_Shocked_Motion	큐폴충격모션				
ETC_20200320_045445	Kupole_Sigh_Motion	큐폴한숨모션				
ETC_20200320_045446	Beyond the Astral Tower	별의 탑을 넘어서				
ETC_20200320_045447	The Last Revelation	마지막 계시				
ETC_20200320_045448	10%% chance of generating the Shield equal to {@st66d_y}{s16}[%d]{/}{/}%% of Max HP for 10 seconds when attacked	피격 시 10%% 확률로 10초간 최대 HP의 {@st66d_y}{s16}[%d]{/}{/}%% 실드 생성				
ETC_20200320_045449	Overkill will be activated if you inflict more damage with a powerful attack to a monster than that of its remaining HP.	캐릭터의 강력한 공격 스킬로 몬스터의 남은 HP보다{nl}많은 대미지를 줄 경우 오버킬이 발동됩니다.	ETC_20170313_026642	Overkill will be activated if you inflict more damage with a powerful attack to a monster than that of its remaining HP.	캐릭터의 강력한 공격 스킬로 몬스터의 남은 HP보다{nl}많은 데미지를 줄 경우 오버킬이 발동됩니다.	
ETC_20200320_045450	Challenge Mode is a field event which allows you to defeat powerful monsters to advance to higher stage for better rewards. 	챌린지 모드는 몬스터와 보스를 물리쳐 더 높은 단계로 올라가 많은 보상을 노리는 필드 이벤트입니다.				
ETC_20200320_045451	{@st66d_y}{s17}[Challenge Mode Condition]{/}{/}{nl} {nl}- You have to be character level 100 or above to enter the Challenge Mode.{nl}- Challenge Mode is available only at the field of level 100 or above.{nl}- You may not enter the Challenge Mode if the field level is not in the range of the -80 ~ +30 level difference from your character level.{nl}- You have to be in a party in order to play the Challenge Mode.	{@st66d_y}{s17}[진행 조건]{/}{/}{nl} {nl}- 챌린지 모드를 이용하기 위해서는 레벨이 100 이상이어야 합니다.{nl}- 챌린지 모드는 권장 레벨 100 이상인 지역에서만 진행할 수 있습니다.{nl}- 챌린지 포탈이 생성된 지역의 권장 레벨에서 -80 레벨 ~ +30 레벨 사이를 벗어날 경우, 해당 지역의 챌린지 포탈에 입장할 수 없습니다.{nl}- 챌린지 모드를 진행하기 위해서는 파티에 가입되거나 생성된 상태여야 합니다.				
ETC_20200320_045452	{nl} {nl} {nl}{@st66d_y}{s17}[Challenge Mode Guide]{/}{/}{nl} {nl}● Create a Portal{nl} {nl}- A monster glowing in purple light will appear in the field of level 100 or above. Defeat the monster and the Challenge Portal will the created at the position. The Challenge Portal monster will only appear at the normal fields, and will not appear at the villages, Hunting Grounds, or Raid fields. 	{nl} {nl} {nl}{@st66d_y}{s17}[진행 방법]{/}{/}{nl} {nl}● 포탈 생성{nl} {nl}- 권장 레벨이 100레벨 이상인 지역에 보라색 빛을 띤 몬스터나 나타납니다. 해당 몬스터를 처치하면 해당 지역에 챌린지 포탈이 생성됩니다. 해당 몬스터는 일반 지역에서만 등장하며 마을이나 프리 던전, 레이드 지역 등에선 등장하지 않습니다.				
ETC_20200320_045453	- Challenge Portal will be opened for 10 minutes.{nl}- Only one Challenge Portal will be opened for a channel.{nl}- Up to 10 parties may enter the Challenge Portal at once.{nl}- Also, Challenge Portal may	- 챌린지 포탈은 생성된 시점으로부터 10분 동안 유지되며, 10분이 지나면 해당 지역에서 사라집니다.{nl}- 챌린지 포탈은 하나의 채널에 하나의 포탈만 생성 가능합니다.{nl}- 또한, 챌린지 포탈은 하나의 채널에 최대 10개의 파티까지만 참여가 가능합니다.{nl}- 그 밖에도 챌린지 포탈은 				
ETC_20200320_045454	Can be created by an item. 	 아이템을 통해서 생성할 수 있습니다.				
ETC_20200320_045455	{nl} {nl} {nl}● Entering the Portal{nl} {nl}- Interact with the Challenge Portal and an option screen whether to start the Challenge Mode or not will appear.{nl}- You will enter the Challenge Mode if you click Yes. {nl}- If you already finished the Challenge Mode and received the rewards for today's Challenge Mode, you may not enter the Challenge Mode again until the Challenge Mode Entry Count is reset.{nl}- Also, you may not enter the Challenge Mode if you did not meet the Challenge Mode Condition.	{nl} {nl} {nl}● 포탈 입장{nl} {nl}- 챌린지 포탈에 말을 걸면 챌린지 모드를 진행할 것인지 선택지가 나타납니다.{nl}- 예를 누르면 챌린지 포탈을 통해 입장하여 챌린지 모드를 진행하게 됩니다.{nl}- 만약 당일 챌린지 모드를 이미 진행해 보상을 받은 적이 있다면, 입장 횟수가 초기화되기 전까진 더 이상 챌린지 모드를 진행할 수 없습니다.{nl}- 또한 진행 조건에 해당하지 않는다면 포탈에 입장할 수 없습니다.				
ETC_20200320_045456	{nl} {nl} {nl}● Progress in the Challenge Mode{nl} {nl}- Challenge Mode will begin right away upon entry.{nl}- Once the Challenge Mode starts,	{nl} {nl} {nl}● 챌린지 모드 진행{nl} {nl}- 챌린지 포탈을 통해 입장했다면 챌린지 모드가 바로 시작합니다.{nl}- 챌린지 모드가 시작되면 화면 중앙 하단에 				
ETC_20200320_045457	Challenge Mode Gauge	챌린지 모드 게이지				
ETC_20200320_045458	will be displayed at the lower center of the screen, and monsters will begin to spawn near the character. When successfully defeat the monsters,	가 출력됩니다. 챌린지 모드가 시작되면 주변에 몬스터가 생성됩니다. 몬스터를 물리치면 				
ETC_20200320_045459	will rise, and a boss monster will show up when the gauge is full.{nl}- The stage is considered to be cleared once you defeat the boss monster. 	가 오르게 되고, 게이지가 가득 채워지면 보스가 등장합니다.{nl}- 보스를 물리치면 해당 단계의 챌린지 모드를 클리어한 것으로 인정합니다.				
ETC_20200320_045460	- Once you clear the Challenge Mode stage, 2 portals will be created.{nl}If you click	- 챌린지 모드를 클리어 시, 두 개의 포탈이 생성됩니다.{nl}생성된 포탈 중, 				
ETC_20200320_045461	then the next stage of	을 누를 경우 다음 단계의 				
ETC_20200320_045462	will start right away.{nl}If you click	가 바로 시작됩니다.{nl}생성된 포탈 중, 				
ETC_20200320_045463	then you will receive the rewards for the cleared stages.{nl}- There are total of 7 stages in the Challenge Mode. The higher the stage, the stronger the monsters and boss monsters be. Elite monsters will also spawn starting from Stage 6. 	를 누를 경우 현재까지 클리어한 단계까지의 보상을 받게 됩니다.{nl}- 챌린지 모드는 총 7단계까지 존재하며 레벨이 오를 수록 더 강한 몬스터와 보스가 나타나며 특히, 챌린지 모드 6단계부터는 엘리트 몬스터가 등장합니다.				
ETC_20200320_045464	- The Challenge Mode has a time limit. Once the time limit expires, the Challenge Mode will be suspended.{nl}- A Challenge Mode will also be suspended if all party members are incapacitated. 	- 챌린지 모드에는 제한 시간이 있습니다. 제한 시간이 경과되면 챌린지 모드가 강제 종료됩니다.{nl}- 챌린지 모드에서 자신을 포함한 파티원 전원이 전투 불능이 된다면 챌린지 모드가 강제 종료됩니다. 				
ETC_20200320_045465	{nl} {nl} {nl}● Rewards{nl} {nl}- If you finish the Challenge Mode by	{nl} {nl} {nl}● 보상 획득{nl} {nl}- 챌린지 모드에서 진행한 단계를 클리어하여 생성된 포탈 중 				
ETC_20200320_045466	you will receive the rewards for the cleared stages.{nl}- The rewards will be better if you cleared higher Challenge Mode stage.{nl}- The rewards will be distributed right into the character's inventory. 	를 통해 챌린지 모드를 종료했을 경우, 현재 클리어한 단계까지의 보상을 획득하게 됩니다.{nl}- 클리어한 챌린지 모드의 단계가 높을 수록 더 좋고, 더 많은 보상을 획득할 수 있습니다.{nl}- 보상은 캐릭터의 인벤토리로 바로 지급됩니다.				
ETC_20200320_045467	- Upon the rewards for the stage 1~5, 	- 1~5단계까지는 지급 아이템 중 				
ETC_20200320_045468	can be found by chance.{nl}- Upon the rewards for the stage 6~7,	 등이 일정 확률로 등장하기도 합니다.{nl}- 6~7단계까지는 지급 아이템 중 				
ETC_20200320_045469	can be found by chance.{nl}- You cannot receive any rewards if you fail the Challenge Mode or the Challenge Mode is suspended for any reason. But this will not charge your Daily Challenge Mode Entry Count.{nl}- You may receive a title after you clear certain number of Challenge Modes. 	 등이 일정 확률로 등장하기도 합니다.{nl}- 챌린지 모드 클리어에 실패하거나 강제 종료될 시, 챌린지 모드의 보상은 사라집니다. 단, 챌린지 모드의 입장 횟수는 차감되지 않습니다.{nl}- 챌린지 모드를 클리어한 횟수에 따라 챌린지 모드 종료 후에 보상을 받을 시 칭호를 지급하기도 합니다.				
ETC_20200320_045470	{nl} {nl} {nl}{@st66d_y}{s17}[Notes]{/}{/}{nl} {nl}● Re-entry after interruption{nl} {nl}- You may re-enter the Challenge Mode even if you leave the area or client disconnection, just like Instanced Dungeon or Mission.{nl}The re-entry has to be within 5 minutes from the time of interruption.{nl} {nl}- The Challenge Mode will pause if there is no player in the Challenge Mode. All monsters and timer will stop once the Challenge Mode pauses. If a player re-enters, the Challenge Mode will resume.{nl} {nl}- The Challenge Mode will not pause if there are more than 1 party member who is still playing the Challenge Mode. The interrupted player may re-enter and continue the Challenge Mode with the party again. But the interrupted player may not re-enter if the party went higher stage than the interrupted stage.	{nl} {nl} {nl}{@st66d_y}{s17}[참고 사항]{/}{/}{nl} {nl}● 문제 발생 후 재입장{nl} {nl}- 인던이나 미션과 같이 챌린지 모드 역시 나가거나 클라이언트가 강제 종료되더라도 재입장할 수 있습니다.{nl}이때, 나가거나 강제 종료된 시기로부터 5분 이내에 재접속하면 바로 챌린지 모드에 진입됩니다.{nl} {nl}- 개인 또는 파티 진행 중, 진행하던 챌린지 모드에 아무도 없을 경우 챌린지 모드가 일시 중단됩니다. 일시 중단이 되면 잔여 시간과 몬스터가 정지되며, 재접속하여 다시 챌린지 모드에 진입하면 일시 중단이 해제됩니다.{nl} {nl}- 파티 진행 중, 진행하던 챌린지 모드에 한명이라도 있다면 챌린지 모드는 남은 인원끼리 계속 진행하게 됩니다. 나가거나 강제 종료된 유저는 재접속하면 다시 파티원들과 같이 진행할 수 있게 됩니다. 단, 남은 파티원들이 진행 중 나가거나 강제 종료된 시점의 단계보다 높은 단계를 진행하게 된다면 재입장이 불가능합니다.				
ETC_20200320_045471	Dimensional Collapse Point is an advanced Challenge Mode for the high-level players. 	차원 붕괴 지점은 고레벨 유저들을 위한 챌린지 모드의 상위 컨텐츠 입니다.				
ETC_20200320_045472	{@st66d_y}{s17}[Condition]{/}{/}{nl} {nl}- The character has to be level 440 or above in order to enter the Dimensional Collapse Point.{nl}- You need	{@st66d_y}{s17}[진행 조건]{/}{/}{nl} {nl}- 차원 붕괴 지점에 진입하기 위해서는 레벨이 440 이상이어야 합니다.{nl}- 차원 붕괴 지점을 진행하기 위해서는 				
ETC_20200320_045473	in order to enter the Dimensional Collapse Point.{nl}- This item can be received from	이 필요합니다.{nl}- 해당 아이템은 서융거스 가도에 있는 				
ETC_20200320_045474	Sage Envoy NPC	세이지 파견원 NPC				
ETC_20200320_045475	in the West Jungers Road.	를 받으실 수 있습니다.				
ETC_20200320_045476	{nl} {nl} {nl}{@st66d_y}{s17}[Guide]{/}{/}{nl} {nl}● Create a portal{nl} {nl}- The Dimensional Collapse Point can be created only at the field of level 421 or above.{nl}- You have to use	{nl} {nl} {nl}{@st66d_y}{s17}[진행 방법]{/}{/}{nl} {nl}● 포탈 생성{nl} {nl}- 차원 붕괴 지점을 생성하려면 권장 레벨이 421 이상인 지역에서만 생성할 수 있습니다.{nl}- 차원 붕괴 지점을 생성하기 위해서는 				
ETC_20200320_045477	in order to create the Dimensional Collapse Point. The item cannot be used inside the villages, and it cannot create a portal if an NPC is nearby.{nl}- The portal will last for 5 minutes. 	을 사용해야합니다. 해당 아이템은 마을에서 사용할 수 없으며, 주변에 NPC가 있다면 포탈을 생성할 수 없습니다{nl}- 포탈은 생성 후 5분까지 유지됩니다.				
ETC_20200320_045478	{nl} {nl} {nl}● Entering the portal{nl} {nl}- Once you use the key item,	{nl} {nl} {nl}● 포탈 입장{nl} {nl}- 포탈을 생성하면 필드에 				
ETC_20200320_045479	Dimensional Collapse Point Entrance	차원 붕괴 지점 입장				
ETC_20200320_045480	The portal will be created.{nl}Interact with the portal with {img space 40 40} key to choose the difficulty from 1 to 10.{nl}Higher difficulty can yield better rewards but it will summon more powerful monsters and threats. 	 포탈이 생성됩니다.{nl}해당 포탈에 {img space 40 40}키로 말을 걸면 1단계부터 10단계까지 차원 붕괴 지점의 난이도를 고를 수 있는 선택지가 나타납니다.{nl}단계가 높을 수록 좋은 보상이 나올 확률이 더 높아지지만, 대신 더 강한 몬스터와 어려운 요소들이 나타납니다.				
ETC_20200320_045481	{nl} {nl} {nl}● Entering the Dimensional Collapse Point{nl} {nl}- Once you enter the point, the Dimensional Collapse will begin after 10 seconds.{nl}- Upon the beginning of the Dimensional Collapse,	{nl} {nl} {nl}● 차원 붕괴 지점 진입{nl} {nl}- 차원 붕괴 지점에 진입 후, 10초 뒤 차원 붕괴가 진행됩니다.{nl}- 차원 붕괴가 진행되면 우측 하단에 				
ETC_20200320_045482	a timer	타이머				
ETC_20200320_045483	will appear on the lower right corner of the screen and a progress bar will appear on the upper right corner of the screen. Progress will increase as all monsters around the field are defeated, and dimensional collapse will be prevented when the progress bar reaches 100%.	가 표시되고, 우측 상단에 달성률이 표시됩니다.{nl}- 차원 붕괴가 진행되는 동안에는 맵 전 지역에 몬스터가 출현합니다. 맵 전역에 있는 몬스터를 처치하다보면 달성률이 오르게 되며, 계속해서 몬스터를 처치해 달성률을 100% 채우면 차원 붕괴을 저지하게 됩니다.				
ETC_20200320_045484	{nl} {nl} {nl}● Rewards{nl} {nl}- You will receive rewards if you stop the Dimensional Collapse within time limit.{nl}- The rewards can be better if you stop the Dimensional Collapse at higher difficulty.{nl} {nl}- You may use the Mercenary Badges at Klaipeda from	{nl} {nl} {nl}● 보상 획득{nl} {nl}- 제한 시간 내에 차원 붕괴를 저지하면 보상을 받게 됩니다.{nl}- 높은 단계의 차원 붕괴를 저지하면 더 좋은 보상이 나올 수 있습니다.{nl} {nl}- 획득한 보상 중 용병단 증표는 클라페다에 있는 				
ETC_20200320_045485	Oracle Master NPC	오라클 마스터 NPC				
ETC_20200320_045486	Gemstone Feud Mine Entrance NPC	자원 쟁탈전 광산 입구 NPC				
ETC_20200320_045487	at the Saalus Conven	, 살러스 수녀원에 있는 				
ETC_20200320_045488	to exchange with items. 	를 통해 용병단 증표 상점에서 아이템으로 교환할 수 있습니다.				
ETC_20200320_045489	{nl} {nl} {nl}{@st66d_y}{s17}[Irregularity]{/}{/}{nl} {nl}● Defeat the Elite Monster{nl} {nl}- The elite monsters will also appear during the Dimensional Collapse{nl}- The number of the elite monsters differ by the difficulty of the Dimensional Collapse, and defeating these elite monsters will provide a special buff. The buff will change every week.{nl}- The buff will remain even if the character was incapacitated during the Dimensional Collapse. Please note that the buff will be removed if the character returns to the normal field. 	{nl} {nl} {nl}{@st66d_y}{s17}[변칙 사항]{/}{/}{nl} {nl}● 엘리트 몬스터 처치{nl} {nl}- 차원 붕괴가 발생할 때 등장하는 몬스터에는 엘리트 몬스터도 있습니다.{nl}- 해당 몬스터는 차원 붕괴의 단계마다 등장하는 수가 다르며, 해당 몬스터를 처치하면 특별한 버프를 받게 됩니다. 받게 되는 특별한 버프는 차원 붕괴 저지를 진행하는 매 주마다 다릅니다.{nl}- 차원 붕괴를 저지하는 동안에는 캐릭터가 쓰러져도 획득한 버프는 유지됩니다. 단, 원래의 지역으로 돌아오게 되면 획득한 버프는 삭제됩니다.				
ETC_20200320_045490	{nl} {nl} {nl}● Penalty{nl} {nl}- Some disadvantages may appear during the Dimensional Collapse.{nl}- These disadvantages will appear more frequently as the difficulty gets higher. Please be advised as there are many disadvantages.	{nl} {nl} {nl}● 패널티{nl} {nl}- 차원 붕괴의 저지를 진행하다보면 유저에게 불리한 패널티도 발생합니다.{nl}- 단계가 높아질 수록 많은 패널티가 발생합니다. 다양한 종류의 패널티가 존재하므로 유의하셔서 진행하시기 바랍니다.				
ETC_20200320_045491	{nl} {nl} {nl}{@st66d_y}{s17}[Note]{/}{/}{nl} {nl}- The Dimensional Collapse Point can be entered 4 times a week.{nl}- If you did not successfully stop the Dimensional Collapse, the Entry Count will not be deducted.	{nl} {nl} {nl}{@st66d_y}{s17}[유의 사항]{/}{/}{nl} {nl}- 차원 붕괴는 일주일에 최대 4번까지 진입할 수 있습니다.{nl}- 차원 붕괴를 저지하지 못 했다면, 입장 횟수가 차감되지 않습니다.				
ETC_20200320_045492	Weekly Boss Raid is a competitive content which competes the damage dealt to the boss monster. 	주간 보스 레이드는 보스 몬스터와의 전투를 통해 보스 몬스터에게 입힌 대미지로 경쟁하는 콘텐츠입니다.				
ETC_20200320_045493	Weekly Boss Raid is a competitive content which competes the damage dealt to the boss monster.{nl}You can get many different items by the Weekly Boss Raid every week. 	주간 보스 레이드는 보스 몬스터와의 전투를 통해 보스 몬스터에게 입힌 대미지로 경쟁하는 콘텐츠입니다.{nl}주간 보스 레이드를 통해 매주 다양한 아이템을 획득할 수 있습니다.				
ETC_20200320_045494	{nl} {nl} {nl}{@st66d_y}{s17}[Condition]{/}{/}{nl} {nl}- You have to be level 440 or above in order to enter the Weekly Boss Raid, and the basic Weekly Boss Raid Entry Count is 5 times a week.{nl}- You may enter 6th or more time by using the [Weekly Boss Raid One Entry Voucher].{nl}※ You may not enter the Weekly Boss Raid from the PVP zones such as Instanced Dungeon or Team Battle League. 	{nl} {nl} {nl}{@st66d_y}{s17}[진행 조건]{/}{/}{nl} {nl}- 주간 보스 레이드는 캐릭터 레벨이 440 이상이어야 입장할 수 있으며, 한 계정당 매주마다 기본 5회까지 입장할 수 있습니다.{nl}- 또한, [주간 보스 레이드 1회 입장권] 아이템을 사용해 추가로 입장할 수 있습니다.{nl}※ 인스턴스 던전이나 팀 배틀 리그 같은 PVP 지역에선 입장할 수 없습니다.				
ETC_20200320_045495	{nl} {nl} {nl}{@st66d_y}{s17}[Progress]{/}{/}{nl} {nl}● Create the Portal{nl} {nl}- The Weekly Boss Raid can be entered by [Enter] button on the [Instanced Dungeons] panel, which can be opened by [img F10 40 40}.	{nl} {nl} {nl}{@st66d_y}{s17}[진행 방법]{/}{/}{nl} {nl}● 포탈 생성{nl} {nl}- 주간 보스 레이드는 {img F10 40 40} 키를 통해 열리는 [컨텐츠 현황판] 창에서 [주간 보스 레이드] 탭에 있는 [입장하기] 버튼을 통해 입장할 수 있습니다.				
